huka,expediture_type,fc3,doc_type,total_forecasted_value,total_forecasted_value_no_resid,actual_2023,actual_2024,actual_2025
7000,10,2800,KG,0.0,0.0,131583.52,0.0,0.0
7000,10,2800,RV,60341.51401510532,60341.51401510532,10709858.91,3009116.88,8555600.14
7000,10,2803,RV,52330103.189996004,-154341.22572644168,54305741.480000004,52278757.0,702349.0
7000,20,201,RV,802999.6020597278,802999.6020597278,695380.27,900749.9,1320000.0
7000,20,300,RV,1113000.0,0.0,326000.0,335000.0,1891000.0
7000,20,800,ZJ,38268951.5,0.0,0.0,14627156.0,61910747.0
7000,20,803,RV,1997533.7092318807,1997533.7092318807,22631464.0,15304174.879999999,4081242.36
7000,20,803,ZJ,18050.5,0.0,100000.0,0.0,36101.0
7000,20,1703,ZJ,4048110.1844444443,0.0,3472638.0,9927556.379999999,5155927.0
7000,20,1704,RV,0.0,0.0,4000.0,0.0,0.0
7000,20,1705,RV,1899999.9999999998,0.0,2900000.0,1900000.0,0.0
7000,20,1900,ZJ,2069673.60325032,2069673.60325032,11148488.129999999,5897223.75,3631875.3
7000,20,1903,ZJ,0.0,0.0,2000000.0,0.0,0.0
7000,45,101,RV,99999.99999999999,0.0,0.0,0.0,200000.0
7000,45,109,RV,0.0,0.0,12900.0,0.0,0.0
7000,45,201,RV,113437409.14774817,108799480.09061927,111555056.09,111839653.0,117827692.71
7000,45,201,SA,0.0,0.0,-2705859.0,0.0,0.0
7000,45,202,RV,76276212.0,0.0,55835317.0,90109946.0,62442478.0
7000,45,202,SA,0.0,0.0,-547333.13,0.0,0.0
7000,45,300,RV,8929867.457435401,6291844.3558729,14459182.919999998,10184644.86,10121006.6
7000,45,500,RV,121956872.72888476,121504240.26599413,189669252.42,135419955.09,89558801.15
7000,45,500,SA,0.0,0.0,0.0,-796975.0900000036,0.0
7000,45,600,RV,11019251.082021063,2061988.1860249708,19989683.5,7198041.0,9204012.46
7000,45,700,RV,484225.44533400575,484225.44533400575,0.0,0.0,3949333.81
7000,45,800,RV,3405880.4089102643,1758836.1159415143,3461036.0,4404708.0,7763526.08
7000,45,802,RV,0.0,-23011.63908061774,8000.0,580000.0,168000.0
7000,45,803,RV,17269171.092744652,17269171.092744652,1731074.58,16845879.09,5510958.68
7000,45,900,RV,12286429.189853247,9141990.142352633,8517720.79,30716573.39,41257499.46
7000,45,1100,RV,10764092.438301176,-5447218.405913701,57543875.06,77294511.44,109165855.63
7000,45,1100,SA,796975.09,0.0,0.0,796975.09,0.0
7000,45,1103,RV,450000.0,0.0,0.0,0.0,900000.0
7000,45,1200,RV,62886124.59432912,34979105.619723625,53688999.15,73275788.0,65826782.18
7000,45,1200,SA,-1307570.81,0.0,-1407513.39,-3295188.95,-1307570.81
7000,45,1300,RV,18864.0,0.0,0.0,18864.0,0.0
7000,45,1400,RV,2137341.0,0.0,0.0,160000.0,4114682.0
7000,45,1401,RV,0.0,0.0,68336.81,0.0,0.0
7000,45,1703,RV,3739412.681390865,1768118.783931471,3492504.0,3659102.0,4538746.0
7000,45,1704,RV,37564.658842133795,37564.658842133795,160250.0,1094826.8900000001,30268.0
7000,45,1801,RV,50061237.0,0.0,39312000.0,50061237.0,0.0
7000,45,1900,RV,3198146.4346519066,3198146.4346519066,2805306.38,1577361.0,1679022.66
7000,45,1903,RV,0.0,0.0,3151000.0,0.0,0.0
7000,45,2000,RV,0.36089432784691833,0.3608943278469182,0.0,366930.0,0.0
7000,45,2001,RV,520170.0212686639,520170.0212686639,687827.96,1310587.27,938756.77
7000,45,2001,SA,0.0,0.0,-573204.87,0.0,0.0
7000,45,2200,DR,425895.51977431553,425895.51977431553,277218.0,254520.0,195840.0
7000,45,2800,RV,1801119.0200000003,0.0,800210.96,3011156.69,591081.35
7000,45,2904,RV,0.0,-6788.961714776204,742170.0,0.0,0.0
7010,10,300,RV,1126972.997557206,1126972.997557206,164962.28,401042.65,825159.52
7010,20,300,RV,210040.03677422222,285664.2743993443,3838447.1,1387598.0,1214227.0
7010,20,300,ZJ,1419000.0,0.0,807315.0,1227000.0,1611000.0
7020,10,300,RV,20069.517333043834,20069.517333043834,77613.0,0.0,0.0
7020,10,300,ZC,873387.2956158608,873387.295615861,452675.37,543335.22,760186.8
7020,20,300,RV,524916.9504740284,524916.9504740282,664060.0,87943.0,115000.0
7033,10,300,RV,0.0,0.0,1794088.8,0.0,0.0
7033,10,300,ZC,607685.3901676201,607685.3901676201,3889062.12,119105.58000000002,112907.28
7033,10,2200,DR,74.76225975391472,74.76225975391472,1080.0,0.0,0.0
7033,10,2203,DG,-938548.0,0.0,-19947.0,-41760.0,-938548.0
7033,10,2203,DR,561581.1511522882,561581.1511522882,201513.5,339810.0,400370.3
7033,20,300,RV,99283720.10468006,37307920.50857018,42511409.64,35920000.0,45812654.0
7033,20,300,ZJ,0.0,-859340.5001085615,4210843.0,2250912.0,4500000.0
7033,20,2203,DG,-97179.0,0.0,0.0,-20880.0,-97179.0
7033,20,2203,DR,82068.45140410814,82068.45140410814,209341.0,227499.0,203864.0
7033,20,2203,RV,0.0,0.0,338530.0,0.0,0.0
7040,10,400,RV,176402204.94410864,176402204.94410864,113351508.32,216079730.0,168572309.0
7040,10,400,SA,-45569325.0,0.0,0.0,0.0,-45569325.0
7040,10,600,RV,305276981.06845045,305276981.0684505,56530051.0,238615900.0,211140211.0
7040,10,1400,RV,0.0,-183239.96822024602,5009721.91,46365487.0,8880798.73
7040,20,300,RV,3698816.8369954927,155269.24111133243,124014.43,1076.04,267.7
7040,20,1400,RV,9.511705276239665,9.511705276239669,0.0,0.0,160000.0
7040,20,1500,RV,1840379.9594679459,365474.0916473397,1513571.99,801606.8099999999,1391377.37
7040,20,1903,RV,97215258.42999999,0.0,11510499.19,54179793.019999996,140250723.84
7040,20,1903,ZJ,26465341.890963163,26465341.890963163,12110942.5,92407747.59,20025125.509999998
7041,10,300,RV,1502269.9922735025,1502269.9922735025,2993972.92,2615642.51,2284902.44
7041,10,400,ZD,196699.99999999997,0.0,0.0,300000.0,0.0
7041,10,803,ZD,13853.339395870962,13853.339395870964,4538488.8,128838.0,0.0
7050,20,300,RV,0.0,0.0,94847.0,0.0,0.0
7050,20,300,ZJ,0.0,-4128.31484857656,839023.1,15944.58,0.0
7080,10,900,DR,1889316.3100000003,0.0,0.0,2500000.0,1278632.62
7080,10,900,RV,5879734.825564392,4881078.947390564,2708352.32,6695692.76,4018537.2800000003
7080,10,1703,RV,4849090.713445922,1038303.5465505682,2733433.0,8215965.93,916180.24
